+diniwadigenan (ga)(NE)	(0'p)(dub) for (vii)+d
+diniwan (ga)	(0'p) for (vii)+d
+diniwiba (ga)(alt)	(0')(prt) for (vii)+d
+diniwiban (ga)	(0')(prt) for (vii)+d
+diniwibaniin (ga)	(0'p)(prt) for (vii)+d
+diniwidig (ga)	(0')(dub) for (vii)+d
+diniwidigenan (ga)	(0'p)(dub) for (vii)+d
+ji' (sf)(AL/NO/NW)	(3'p) for (n)(pt)d+ > ø+
+jig (sf)	(3p) for (n)(pt)d+ > ø+
+jish (sf)	(pej) for (n)(pt)d+ > ø+
+jin (sf)	(3') for (n)(pt)d+ > ø+
+jin (sf) /default/	(0p) for (n)(pt)d+ > ø+
+dog (sf)	(2p)(voc) for (n)Cw+ > Co+
+dog (sf)	(2p)(voc) for (n)VV+
+dogoba (ga)(alt)	(0)(prt)(dub) for (vii)+d
+dogoban (ga)	(0)(prt)(dub) for (vii)+d
+dogobane (ga)(alt)	(0)(cnj)(prt)(dub) for (vii)+d
+dogobane (ga)(alt)	(0p)(cnj)(prt)(dub) for (vii)+d
+dogobanen (ga)	(0)(cnj)(prt)(dub) for (vii)+d
+dogobanen (ga)	(0p)(cnj)(prt)(dub) for (vii)+d
+dogwen (ga)(alt)	(0)(cnj)(dub) for (vii)+d
+dogwen (ga)(alt)	(0p)(cnj)(dub) for (vii)+d
+dogwenh (ga)	(0)(cnj)(dub) for (vii)+d
+dogwenh (ga)	(0p)(cnj)(dub) for (vii)+d
+doon (ga)	(0p) for (vii)+d
+eg	(2p)>(3)(cnj)(vta)C+
+egwaa	(2p)>(3p)(cnj)(vta)C+
+enh (sf)	(con) for (n)(pt)C+
+enh (sf)	(con) for (n)C+
+enh (sf)	(con) for (n)C+A
+ens (sf)	(dim) for (n)(pt)C+
+ens (sf)	(dim) for (n)C+
+ens (sf)	(dim) for (n)C+A
+g (ga)	(0)(cnj) for (vii)+
+g (ga)	(0)(cnj) for (vii)+n
+g (ga)	(0)(cnj) for (vii)n+
+g (ga)	(0p)(cnj) for (vii)+
+g (ga)	(0p)(cnj) for (vii)+n
+g (ga)	(0p)(cnj) for (vii)n+
+k (ga)	(0)(cnj) for (vii)+d
+k (ga)	(0p)(cnj) for (vii)+d
+g (sf)	(0p) for (pr)V+
+g (sf)	(3p) for (n)VV+
+g (sf)	(3p) for (pr)V+
+g (sf)	(3Xp) for (pr)V+
g*+__+aa	(2)>(3)(vta)C+
g*+__+aag	(2)>(3p)(vta)C+
g*+__+aanaan	(21)>(3)(vta)C+
g*+__+aanaanig	(21)>(3p)(vta)C+
g*+__+aawaa	(2p)>(3)(vta)C+
g*+__+aawaag	(2p)>(3p)(vta)C+
g*+__+aasiig	(2)>(3p)(neg)(vta)C+
g*+__+aasiin	(2)>(3)(neg)(vta)C+
g*+__+aasiwaanaan	(21)>(3)(neg)(vta)C+
g*+__+aasiwaanaanig	(21)>(3p)(neg)(vta)C+
g*+__+aasiwaawaa	(2p)>(3)(neg)(vta)C+
g*+__+aasiwaawaag	(2p)>(3p)(neg)(vta)C+
g*+__+idizo	(2)>(2)(vta)C+
g*+__+idizomin	(21)>(21)(vta)C+
g*+__+idizosiimin	(21)>(21)(neg)(vta)C+
g*+__+idizosiin	(2)>(2)(neg)(vta)C+
g*+__+ig	(3)>(2)(vta)C+
g*+__+igoo	(1p)>(2)(neg)(vta)C+
g*+__+igoo	(1p)>(2)(vta)C+
g*+__+igoo	(X)>(2)(vta)C+
g*+__+igoog	(3p)>(2)(vta)C+
g*+__+igoom	(1p)>(2p)(vta)C+
g*+__+igoom	(X)>(2p)(vta)C+
g*+__+igomin	(0)>(21)(vta)C+
g*+__+igomin	(0p)>(21)(vta)C+
g*+__+igoomin	(X)>(21)(vta)C+
g*+__+igon	(0)>(2)(vta)C+
g*+__+igonaan	(3)>(21)(vta)C+
g*+__+igonan	(0p)>(2)(vta)C+
g*+__+igonaanig	(3p)>(21)(vta)C+
g*+__+igonaawaa	(0)>(2p)(vta)C+
g*+__+igonaawaan	(0p)>(2p)(vta)C+
g*+__+igowaa	(3)>(2p)(vta)C+
g*+__+igowaag	(3p)>(2p)(vta)C+
g*+__+igosiig	(3p)>(2)(neg)(vta)C+
g*+__+igoosiim	(1p)>(2p)(neg)(vta)C+
g*+__+igoosiim	(X)>(2p)(neg)(vta)C+
g*+__+igoosiimin	(X)>(21)(neg)(vta)C+
g*+__+igosiimin	(0)>(21)(neg)(vta)C+
g*+__+igosiimin	(0p)>(21)(neg)(vta)C+
g*+__+igoosiin	(X)>(2)(neg)(vta)C+
g*+__+igosiin	(0)>(2)(neg)(vta)C+
g*+__+igosiin	(3)>(2)(neg)(vta)C+
g*+__+igosiinaan	(3)>(21)(neg)(vta)C+
g*+__+igosiinan	(0p)>(2)(neg)(vta)C+
g*+__+igosiinaanig	(3p)>(21)(neg)(vta)C+
g*+__+igosiinaawaa	(0)>(2p)(neg)(vta)C+
g*+__+igosiinaawaan	(0p)>(2p)(neg)(vta)C+
g*+__+igosiiwaa	(3)>(2p)(neg)(vta)C+
g*+__+igosiiwaag	(3p)>(2p)(neg)(vta)C+
g*+__+im	(2p)>(1)(vta)C+
g*+__+imaan	(2)>(3')(vta)C+
g*+__+imaanaan	(21)>(3')(vta)C+
g*+__+imaawaa	(2p)>(3')(vta)C+
g*+__+imaasiin	(2)>(3')(neg)(vta)C+
g*+__+imaasiwaanaan	(21)>(3')(neg)(vta)C+
g*+__+imaasiwaawaa	(2p)>(3')(neg)(vta)C+
g*+__+imin	(2)>(1p)(vta)C+
g*+__+imin	(2p)>(1p)(vta)C+
g*+__+in	(1)>(2)(vta)C+
g*+__+ininim	(1)>(2p)(vta)C+
g*+__+isiim	(2p)>(1)(neg)(vta)C+
g*+__+isiimin	(2)>(1p)(neg)(vta)C+
g*+__+isiimin	(2p)>(1p)(neg)(vta)C+
g*+__+isiin	(2)>(1)(neg)(vta)C+
g*+__+isinoon	(1)>(2)(neg)(vta)C+
g*+__+isinooninim	(1)>(2p)(neg)(vta)C+
g*+__+m	(2)>(1)(vta)+m
g*+__+maa	(2)>(3)(vta)+m
g*+__+maag	(2)>(3p)(vta)+m
g*+__+maaiig	(2)>(3p)(neg)(vta)+m
g*+__+maanaan	(21)>(3)(vta)+m
g*+__+maanaanig	(21)>(3p)(vta)+m
g*+__+maawaa	(2p)>(3)(vta)+m
g*+__+maawaag	(2p)>(3p)(vta)+m
g*+__+maasiin	(2)>(3)(neg)(vta)+m
g*+__+maasiwaanaan	(21)>(3)(neg)(vta)+m
g*+__+maasiwaanaanig	(21)>(3p)(neg)(vta)+m
g*+__+maasiwaawaa	(2p)>(3)(neg)(vta)+m
g*+__+maasiwaawaag	(2p)>(3p)(neg)(vta)+m
g*+__+mig	(3)>(2)(vta)+m
g*+__+migoo	(1p)>(2)(vta)+m
g*+__+migoo	(X)>(2)(vta)+m
g*+__+migoog	(3p)>(2)(vta)+m
g*+__+migoom	(1p)>(2p)(vta)+m
g*+__+migoom	(X)>(2p)(vta)+m
g*+__+migomin	(0)>(21)(vta)+m
g*+__+migomin	(0p)>(21)(vta)+m
g*+__+migoomin	(X)>(21)(vta)+m
g*+__+migon	(0)>(2)(vta)+m
g*+__+migonaan	(3)>(21)(vta)+m
g*+__+migonan	(0p)>(2)(vta)+m
g*+__+migonaanig	(3p)>(21)(vta)+m
g*+__+migonaawaa	(0)>(2p)(vta)+m
g*+__+migonaawaan	(0p)>(2p)(vta)+m
g*+__+migowaa	(3)>(2p)(vta)+m
g*+__+migowaag	(3p)>(2p)(vta)+m
g*+__+migosiig	(3p)>(2)(neg)(vta)+m
g*+__+migoosiim	(1p)>(2p)(neg)(vta)+m
g*+__+migoosiim	(X)>(2p)(neg)(vta)+m
g*+__+migoosiimin	(X)>(21)(neg)(vta)+m
g*+__+migosiimin	(0)>(21)(neg)(vta)+m
g*+__+migosiimin	(0p)>(21)(neg)(vta)+m
g*+__+migoosiin	(1p)>(2)(neg)(vta)+m
g*+__+migoosiin	(X)>(2)(neg)(vta)+m
g*+__+migosiin	(0)>(2)(neg)(vta)+m
g*+__+migosiin	(3)>(2)(neg)(vta)+m
g*+__+migosiinaan	(3)>(21)(neg)(vta)+m
g*+__+migosiinan	(0p)>(2)(neg)(vta)+m
g*+__+migosiinaanig	(3p)>(21)(neg)(vta)+m
g*+__+migosiinaawaa	(0)>(2p)(neg)(vta)+m
g*+__+migosiinaawaan	(0p)>(2p)(neg)(vta)+m
g*+__+migosiiwaa	(3)>(2p)(neg)(vta)+m
g*+__+migosiiwaag	(3p)>(2p)(neg)(vta)+m
g*+__+mim	(2p)>(1)(vta)+m
g*+__+mimaan	(2)>(3')(vta)+m
g*+__+mimaanaan	(21)>(3')(vta)+m
g*+__+mimaawaa	(2p)>(3')(vta)+m
g*+__+mimaasiin	(2)>(3')(neg)(vta)+m
g*+__+mimaasiwaanaan	(21)>(3')(neg)(vta)+m
g*+__+mimaasiwaawaa	(2p)>(3')(neg)(vta)+m
g*+__+mimin	(2)>(1p)(vta)+m
g*+__+mimin	(2p)>(1p)(vta)+m
g*+__+min	(1)>(2)(vta)+m
g*+__+mininim	(1)>(2p)(vta)+m
g*+__+misiim	(2p)>(1)(neg)(vta)+m
g*+__+misiimin	(2)>(1p)(neg)(vta)+m
g*+__+misiimin	(2p)>(1p)(neg)(vta)+m
g*+__+misiin	(2)>(1)(neg)(vta)+m
g*+__+misinoon	(1)>(2)(neg)(vta)+m
g*+__+misinooninim	(1)>(2p)(neg)(vta)+m
g*+__+n	(2)>(1)(vta)+n
g*+__+naa	(2)>(3)(vta)+n
g*+__+naag	(2)>(3p)(vta)+n
g*+__+naaiig	(2)>(3p)(neg)(vta)+n
g*+__+naanaan	(21)>(3)(vta)+n
g*+__+naanaanig	(21)>(3p)(vta)+n
g*+__+naawaa	(2p)>(3)(vta)+n
g*+__+naawaag	(2p)>(3p)(vta)+n
g*+__+naasiin	(2)>(3)(neg)(vta)+n
g*+__+naasiwaanaan	(21)>(3)(neg)(vta)+n
g*+__+naasiwaanaanig	(21)>(3p)(neg)(vta)+n
g*+__+naasiwaawaa	(2p)>(3)(neg)(vta)+n
g*+__+naasiwaawaag	(2p)>(3p)(neg)(vta)+n
g*+__+ndiz	(2)>(2)(vta)+m
g*+__+ndiz	(2)>(2)(vta)+n
g*+__+ndizomin	(21)>(21)(vta)+m
g*+__+ndizomin	(21)>(21)(vta)+n
g*+__+ndizosiimin	(21)>(21)(neg)(vta)+m
g*+__+ndizosiimin	(21)>(21)(neg)(vta)+n
g*+__+ndizosiin	(2)>(2)(neg)(vta)+m
g*+__+ndizosiin	(2)>(2)(neg)(vta)+n
g*+__+nig	(3)>(2)(vta)+n
g*+__+nigoo	(1p)>(2)(vta)+n
g*+__+nigoo	(X)>(2)(vta)+n
g*+__+nigoog	(3p)>(2)(vta)+n
g*+__+nigoom	(1p)>(2p)(vta)+n
g*+__+nigoom	(X)>(2p)(vta)+n
g*+__+nigomin	(0)>(21)(vta)+n
g*+__+nigomin	(0p)>(21)(vta)+n
g*+__+nigoomin	(X)>(21)(vta)+n
g*+__+nigon	(0)>(2)(vta)+n
g*+__+nigonaan	(3)>(21)(vta)+n
g*+__+nigonan	(0p)>(2)(vta)+n
g*+__+nigonaanig	(3p)>(21)(vta)+n
g*+__+nigonaawaa	(0)>(2p)(vta)+n
g*+__+nigonaawaan	(0p)>(2p)(vta)+n
g*+__+nigowaa	(3)>(2p)(vta)+n
g*+__+nigowaag	(3p)>(2p)(vta)+n
g*+__+nigosiig	(3p)>(2)(neg)(vta)+n
g*+__+nigoosiim	(1p)>(2p)(neg)(vta)+n
g*+__+nigoosiim	(X)>(2p)(neg)(vta)+n
g*+__+nigoosiimin	(X)>(21)(neg)(vta)+n
g*+__+nigosiimin	(0)>(21)(neg)(vta)+n
g*+__+nigosiimin	(0p)>(21)(neg)(vta)+n
g*+__+nigoosiin	(1p)>(2)(neg)(vta)+n
g*+__+nigoosiin	(X)>(2)(neg)(vta)+n
g*+__+nigosiin	(0)>(2)(neg)(vta)+n
g*+__+nigosiin	(3)>(2)(neg)(vta)+n
g*+__+nigosiinaan	(3)>(21)(neg)(vta)+n
g*+__+nigosiinan	(0p)>(2)(neg)(vta)+n
g*+__+nigosiinaanig	(3p)>(21)(neg)(vta)+n
g*+__+nigosiinaawaa	(0)>(2p)(neg)(vta)+n
g*+__+nigosiinaawaan	(0p)>(2p)(neg)(vta)+n
g*+__+nigosiiwaa	(3)>(2p)(neg)(vta)+n
g*+__+nigosiiwaag	(3p)>(2p)(neg)(vta)+n
g*+__+nim	(2p)>(1)(vta)+n
g*+__+nimaan	(2)>(3')(vta)+n
g*+__+nimaanaan	(21)>(3')(vta)+n
g*+__+nimaawaa	(2p)>(3')(vta)+n
g*+__+nimaasiin	(2)>(3')(neg)(vta)+n
g*+__+nimaasiwaanaan	(21)>(3')(neg)(vta)+n
g*+__+nimaasiwaawaa	(2p)>(3')(neg)(vta)+n
g*+__+nimin	(2)>(1p)(vta)+n
g*+__+nimin	(2p)>(1p)(vta)+n
g*+__+nin	(1)>(2)(vta)+n
g*+__+nininim	(1)>(2p)(vta)+n
g*+__+nisiim	(2p)>(1)(neg)(vta)+n
g*+__+nisiimin	(2)>(1p)(neg)(vta)+n
g*+__+nisiimin	(2p)>(1p)(neg)(vta)+n
g*+__+nisiin	(2)>(1)(neg)(vta)+n
g*+__+nisinoon	(1)>(2)(neg)(vta)+n
g*+__+nisinooninim	(1)>(2p)(neg)(vta)+n
gi+__+aam (pf__+sf)	(2’s 0) for C(n)C+A
gi+__+aam (pf__+sf)	(2’s 0') for C(n)C+A
gi+__+aam (pf__+sf)	(2’s 3) for C(n)C+A
gi+__+am (pf__+sf)	(2’s 0) for C(n)a+w
gi+__+am (pf__+sf)	(2’s 0') for C(n)a+w
gi+__+am (pf__+sf)	(2’s 3) for C(n)a+w
gi+__+aamag (pf__+sf)	(2’s 3p) for C(n)C+A
gi+__+amag (pf__+sf)	(2’s 3p) for C(n)a+w
gi+__+aaman (pf__+sf)	(2’s 0p) for C(n)C+A
gi+__+aaman (pf__+sf)	(2’s 3') for C(n)C+A
gi+__+aman (pf__+sf)	(2’s 0p) for C(n)a+w
gi+__+aman (pf__+sf)	(2’s 3') for C(n)a+w
gi+__+aaminaan (pf__+sf)	(21’s 0) for C(n)C+A
gi+__+aaminaan (pf__+sf)	(21’s 0') for C(n)C+A
gi+__+aaminaan (pf__+sf)	(21’s 3) for C(n)C+A
gi+__+aminaan (pf__+sf)	(21’s 0) for C(n)a+w
gi+__+aminaan (pf__+sf)	(21’s 0') for C(n)a+w
gi+__+aminaan (pf__+sf)	(21’s 3) for C(n)a+w
gi+__+aaminaanig (pf__+sf)	(21’s 3p) for C(n)C+A
gi+__+aminaanig (pf__+sf)	(21’s 3p) for C(n)a+w
gi+__+aaminaanin (pf__+sf)	(21’s 0p) for C(n)C+A
gi+__+aaminaanin (pf__+sf)	(21’s 3') for C(n)C+A
gi+__+aminaanin (pf__+sf)	(21’s 0p) for C(n)a+w
gi+__+aminaanin (pf__+sf)	(21’s 3') for C(n)a+w
